"Name","Version","Package","Type","Size","Source"
"WinZip Pro","17.5","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_e1579aab-36e3-412a-9d74-d85eb5154248/1","Application","119.901859283447","\\lounaswps01\pdrive\workarea\mxc4183\App-V_5_workarea\WinZip-test"
"SP Designer 2012 test","","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_d67648e0-b174-41ab-8521-2ed142de3ec9/1","Application","314.167980194092","\\lounaswps01\pdrive\workarea\mxc4183\App-V_5_workarea\SP Designer 2012 test"
"IrfanView","4.36","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_0bc0c30c-609f-4004-a08b-213eb4dacdde/4","Application","2.32563304901123","\\lounaswps01\idrive\d907ats\Source\5734\AppV"
"FileLocator Lite 2010","5.0.0.762","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_60645536-1191-49cd-9d95-6cdc45586cf2/3","Application","6.19450569152832","\\lounaswps01\pdrive\d907ats\6134\AppV"
"vSphere Client","5.1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_4f02744e-3e08-4b53-abca-a37ffba98f63/7","Application","280.193160057068","\\lounaswps01\idrive\d907ats\Source\6060\install"
"Flash Professional CS6","3","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_8e31f5ae-3c1f-44b8-a5e7-53d4497bcda1/2","Application","3798.47804832459","\\lounaswps01\idrive\d907ats\Source\5109\appv"
"Adobe Digital Editions 2.0","2.0","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_e0e856f5-ea88-4e3a-9a9e-2d0f8a560058/3","Application","6.3994026184082","\\lounaswps01\idrive\d907ats\Source\5518\Install"
"Microsoft Expression Studio Ultimate Studio 4","4.0","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_7461d041-8ff0-4433-b9df-54c28c209b52/3","Application","379.626379013062","\\lounaswps01\idrive\d907ats\Source\4116\App-V"
"Apple Computer Safari 5.1.7","5.1.7","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_86c32cbb-5b26-4ac9-8960-fb1249d21101/3","Application","89.1356630325317","\\lounaswps01\idrive\d907ats\Source\6054\Install"
"Para Tech Stretch Break Pro 6.1","6.1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_5018cfaa-f2bb-49a2-8549-acef85325e90/4","Application","24.188304901123","\\lounaswps01\idrive\d907ats\Source\6123\Install\App-V"
"VanDyke Software SecureFX 7.1.1","7.1.1","ScopeId_46A0176C-FDEE-46E6-915B-872BC0DC013E/Application_f8131489-8a98-47e4-8600-f4fbbd6758d7/2","Application","27.0471954345703","\\lounaswps01\idrive\d907ats\Source\5962\Install\App-V"
